node,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
USAAUCX18,0.23138714,-0.3923543,0.08290341,-0.85135365,0.34019113,0.26352559999999997,-0.25665155,-0.07194948,-0.4299147,-0.19663632,0.1837736,0.035470087000000004,0.62492293,0.51897234,0.5395324,-0.15299697,0.15283638,-0.17583224,-0.5687517,0.008541124,0.09462024,0.15750884,-0.5456388000000001,-0.15100671,-0.34073564,0.13210225,-0.18402542,0.004256168,-0.70418245,0.13497463,-0.27716744,0.29319334,-0.06287212,0.47747678,-0.26672316,-0.54419196,0.6446485,0.019515509,-0.38227996,-0.30334690000000003,0.06550581,0.099136166,0.052828833,-0.24131279999999997,-0.05033295,0.12684554,-0.050652265999999994,0.57408184,0.27250272,0.047028627,-0.57847226,0.32614687,-0.0032298102,0.42877164,-0.09740007,-0.23894581,-0.42097875,0.19440868,0.10868055,0.61921984,0.84224457,-0.03762541,0.039953116000000004,-0.7832937
USNLJ4U21,0.13921969,-0.10464286,-0.22156334,-0.27430043,0.670858,0.03631641,-0.08426043400000001,0.29307905,0.6609111999999999,-1.4842852,0.16652657,-0.3321398,0.13789293,-0.61185104,-0.7731229000000001,-0.50368494,0.0053128023,-0.49374485,-0.6742476,-0.16203469,-0.35986245,-0.49804634,-0.595992,0.10216062,0.16657515,-0.041632526,-0.29697227,-0.3128533,-0.24172957,-0.8466225000000001,0.47171447,-0.13675620000000002,0.14120376,-0.86089015,0.19175836,0.5104791,0.21272473,0.80688745,0.9857995999999999,0.5074317,-0.10967423,-0.19723096,0.333496,0.09764681,0.33559126,-0.09755624,0.32865563,-0.10046395,0.5199514000000001,-0.6339176999999999,0.60802597,0.15357433,0.059091408,0.65948623,0.24357434,0.7308097,0.07484531,-0.7037024000000001,-0.13477732,-0.17862399,-0.048831027,0.018155186,-0.19938415,0.7835075
USSGVJBL5,0.97358423,0.33072579999999996,-0.10012871,-0.12098233,0.42215124,0.61730874,0.739613,0.49910638,0.6934408000000001,0.056244947,-0.048022468,-0.13028215,0.20582896,0.71954525,0.4710357,0.7186706,-0.030106151,-0.13189203,0.35810485,-0.5138267,1.2695397,-0.35842090000000004,0.87666506,-0.7059512,0.39965948,0.18029147,0.88944185,0.15097617,-0.01391747,0.6731577,-0.04756694,-0.30243975,0.098922774,-0.63925034,-0.04994024,0.38239294,-1.1601048999999999,0.23636773,0.31899998,0.023098102000000002,0.68633527,-0.04879586,-0.8906628000000001,-0.2806637,0.63202715,-0.52996516,-0.5892718000000001,0.28287026,-0.4104434,-0.21430756,-0.8827478000000001,-0.13273673,-0.25252329999999995,-0.65595806,-0.18092932,0.6735232,0.49213684,-0.31137420000000005,-0.34053773,-0.48181435,-0.2881877,0.11258249,1.2380543,0.6519481
USWMKAJHW,-0.06957339,-0.22165598,0.6593104000000001,0.49700722,0.020983247000000003,0.43203240000000004,0.33063322,0.25130618,0.32399756,0.36860445,0.62547046,0.43682959999999993,0.0073718275,-0.1750992,0.43708625,-0.13643752,0.5790723000000001,-0.17623001,-0.2740974,0.20789157,-0.07967775,0.19631378,-0.21868595,0.08671459599999999,0.6763609,-0.30678099999999997,0.061170068,-0.2974035,-0.36509153,-0.085512646,-0.6930063,-0.27145782,0.45919532,-0.15917382,0.20713603,-0.24726598,-0.65712595,-0.44388214,-0.89639604,-0.26936817,-0.6513419,-0.06439941,0.21084940000000002,-0.13017568,-0.11396822,-0.49067888,-0.079235494,0.36035404,-0.017809117,0.33068538,-0.27353543,-0.07018591,0.38150674,-0.058561757,-0.38081604,-0.7865694999999999,-0.38261290000000003,-0.0534806,0.0032219292999999998,0.1347337,0.7172194000000001,0.100456916,-0.04374932,-0.45142844
USUMX9TAA,-0.75918365,-0.30253816,-0.44230488,0.5074417999999999,-0.21963876,-0.23324564,-1.1545181,0.101689145,-0.7337943,0.41870245,-0.16944602,-1.5412169,-0.056559503,-0.18028837,0.34618259999999995,0.32215098,-1.1251947,0.16082576,1.0128891,-0.021657819,-1.3787118999999999,-0.24832016,0.6589079999999999,0.10677107400000001,-0.5017668,0.013282115,0.28899246,-0.08529921,0.82577664,-0.39572033,-0.6848938,-0.21558595,-0.81466573,0.7256469,-0.19193272,0.03420649,-0.4584182,-0.41019849999999997,-1.0126858,-0.20204948,0.25771073,-0.6026403,-0.16678315,0.71062726,0.9214239,0.014792296000000002,-0.40632108,-1.2562026000000002,0.82156825,-0.18921703,0.10903059,0.0649716,-0.11137316,-0.5227513,-0.34562603,0.13325831,0.24512698,0.033327817999999995,0.9380589,-0.77565706,-0.91752714,-0.36276653,-0.51709604,0.53960764
USF2R12F5,0.5034926,0.3381078,-0.23350725,1.1073385,0.10892555,-0.45080453,-0.9944346,0.063922435,0.22771493,1.0500975000000001,0.4990446,0.082796074,0.6175955,-0.58665293,-0.12068875,0.14232156,-0.71887654,0.013248547,-0.41383222,0.22415838,0.76657224,-0.34407014,-0.7367302,-0.11366505,-0.14641063,0.09678997,0.064022735,0.663605,1.0402584000000001,0.07900468,0.42152712,-0.32968527,-0.523112,-0.7434184,0.14206988,0.27885213,-0.18983250000000002,0.65782344,1.1152455,-0.34973538,-0.12465964,0.22771599999999997,0.5734481,-1.555818,0.23724295,0.541277,0.9705896,-0.86430764,0.033857916,0.46448326,0.12314131,0.74034417,0.07374510000000001,0.67264295,-0.0839678,0.021181207,0.4813699000000001,-0.6167074,0.25770774,-1.0102141,0.37484732,0.05850793,0.47484620000000005,0.16251963
USUCEMMF1,0.32560134,-0.38303742,-1.1242418,0.010377093,0.9011971999999999,-0.6835477,-0.9760030999999999,-0.22267775,-0.24326329,1.116852,0.3410831,0.66606295,-0.6039383,0.1240396,-0.4352411,-0.17978804,-0.80353916,0.021855292999999998,-0.10321739,0.41224304,-1.2210056999999999,-0.082587175,-0.15464063,-0.17203064,-0.14542139,0.58132285,0.13488887,0.7877522,-0.30915198,0.16655792,0.34855464,0.0071214167,0.12585336,-0.7235751,1.2322985,-0.8006446999999999,0.5541139,1.2134943,0.26651067,0.10194094,1.1404698999999998,0.7455166999999999,0.7464805,-0.05678134,-0.120574005,-0.60984075,-0.6156434000000001,1.0770693999999998,0.38643449999999996,0.6908641,0.21669565,-0.92576593,0.60581094,-0.7388897,1.3771723999999999,0.6099289999999999,0.22669642,0.14306411,-0.41909295,0.7254108,-1.0395477,-0.04671685,-0.568444,0.37086535
USUC952G7,0.59538734,-0.13078162,0.081911355,0.17204146,-0.95717263,-1.4229475,1.3898531,-0.5282081,0.11960042,-1.430652,-0.6477377,-0.6051969,0.008310033,0.7801737,-0.56116694,0.13619108,-0.54950666,-0.4003567,-0.14147885,-0.83165264,-0.047167352999999995,0.6073010999999999,-0.5800470999999999,-0.5583665,-0.971902,0.6892782,-0.39069313,-0.5768923,0.1363178,-0.85910916,-0.41894528,-0.009939571,-0.02773591,-1.1809412000000001,0.818967,-0.35273856,-0.51133215,-0.34995183,0.5068210999999999,1.2158535,0.120174,0.90926045,0.0039260555,-0.5086927,0.36396942,0.40596724,0.15189552,-0.38748217,-0.5965109000000001,0.6167074,0.35353622,0.3089751,0.6825293,0.052978582999999996,0.04259892,0.048882917000000005,0.39646068,-1.1486813999999999,0.5142449,-0.0041797613,-0.25692,0.33213186,-0.98528105,0.37365618
USUC4M2HM,-0.28773236,0.8769534999999999,0.45508277,0.81917393,0.15239665,-1.1045951,-0.37811843,0.30490038,1.053549,-0.6144009,-0.03416525,0.05478566,0.28372467,-0.1792481,-0.36172825,-0.73685855,0.49906895,-1.2088466999999998,0.20955347,0.39458263,0.409612,-0.28914124,0.43030795,0.43506396,-0.09327926,0.017983448,0.12456872,0.18214293,-0.11709769,-0.07752728,-0.31890786,-0.84036183,-0.96651536,-0.7628889,-0.4528213,-0.59138876,-0.23649429,-0.5544989,1.0682425,0.57304424,0.010573599,0.097248316,-0.23576473,-0.2893284,0.96828866,0.10688039999999999,-0.26756147,-0.22266044,0.72989136,1.2840658,0.26640546,0.81950396,0.8121616999999999,-0.50916183,-0.6624791,-0.4073176,-1.0394859,0.23571162,-0.8003814,0.6815989,-0.5024563,-0.44860473,-0.44309312,0.6967393
USSGPS9TP,-0.5768126,-0.1260587,1.0935819,-0.051855244,0.309177,-0.14807642,-0.97479725,-0.62361926,-1.0174773000000001,-0.021638606,-0.44193462,0.9642526,-0.040321074,0.46645543,-1.3771188,0.05376922,-0.0575043,0.05416244,0.78829813,-0.99975944,-0.057153784000000006,0.59273946,1.0020638000000002,0.25203514,-0.09033324,-0.26810643,-0.43128973,-0.98061943,0.8555386999999999,-0.27131954,0.0019510462,0.36810290000000007,-0.19986188,-0.043925952000000004,0.12329632,0.0015812229999999999,0.52630776,-0.6631621999999999,-0.33195353,0.3651833,-0.70936674,-0.26252937,-0.94219613,-1.5467248,0.9075494000000001,0.6463897,-0.34774238,0.6454847,0.97867095,-0.5574139,0.58882356,-1.1857866000000001,-0.07497983400000001,0.32358947,-0.22833999,0.48914635,-0.1450174,0.11508078,-0.6619463000000001,-0.26099274,0.5577944,1.5627558000000001,0.28335540000000004,-0.35201409999999994
USSGPU9V3,0.35557923,0.83927995,0.6890403,-0.14490746,0.8747328999999999,-1.0169433,0.008515473,-0.31524074,-0.1683438,-0.47702438,-0.28163883,-0.6052939,-0.43551844,-0.39837617,-0.087913506,0.67283946,-0.27537525,-0.40278047,-0.071563266,-0.40001848,-0.48042983,0.7229641,0.39310983,0.2582814,0.8713201999999999,-0.6201316,0.5980873999999999,-0.369087,0.5223247999999999,0.6801575,0.046313524,0.77729326,0.5955123000000001,-0.056610104,-0.37283114,0.23610869,-1.4212120000000001,0.41831025,0.12785931,-0.23674953,0.32755378,0.5569693,0.03382875,-0.38683449999999997,-0.20921057,0.7969967,0.52439773,-0.54817563,-0.01785311,0.41778904,0.50798845,0.08593075,-0.36232603,1.2376913999999999,-0.22677815,-0.6965188,0.630521,-0.34158927,0.44424534,-0.040057443,0.026360096,0.6060007,-0.2434348,0.48662743
